topic_short,panel_factor,wave,covariates,estimate,std.error,p.value,conf.low,conf.high
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),w1,yes,3.899112601530486,3.545498847512146,0.27224636991782986,-3.0754395643655204,10.873664767426492
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),w2,yes,1.1098426177931349,3.656596787698668,0.7616858895809433,-6.083256616563549,8.30294185214982
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),ratio,yes,0.2846397965930741,0.8751629425668163,0.7452033643681144,-1.4369429366446922,2.0062225298308403
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),w1,yes,-0.6106946392713953,1.630556138264667,0.7080833452123494,-3.81015522182927,2.588765943286479
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),w2,yes,0.9120243651966546,1.682629074264785,0.5879155435369982,-2.389613199950576,4.213661930343886
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),ratio,yes,-1.493421272347359,6.145894501950921,0.808056020337149,-13.55283262415658,10.565990079461864
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),w1,yes,-8.960609189708457,1.863104048379967,1.7373169628168805e-6,-12.616501263947397,-5.3047171154695185
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),w2,yes,-2.8615902975963494,2.07233551148474,0.16762231324873866,-6.928048624595721,1.204868029403023
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),ratio,yes,0.31935220441071915,0.1993139700015824,0.10940391671282378,-0.07175336151163858,0.7104577703330769
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),w1,yes,-14.256487284662034,1.8489274995018965,2.952115045343566e-14,-17.884602743298842,-10.628371826025226
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),w2,yes,-5.573783894338952,2.041651085292577,0.0064412589274066,-9.580077199884013,-1.567490588793892
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),ratio,yes,0.3909647434915849,0.1254380592563955,0.0018791855888479,0.14482001255317112,0.6371094744299987
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),w1,yes,-8.161036652564961,2.977266430071069,0.00636852501076155,-14.012214404238865,-2.3098589008910597
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),w2,yes,-1.9879145266146088,3.654046150785844,0.5866913603877484,-9.16915746984607,5.193328416616852
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),ratio,yes,0.24358603094740827,0.42630918879625634,0.5680268941048295,-0.5942331227651001,1.0814051846599166
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),w1,yes,-15.52973687356002,2.8125971279589246,5.7494966235621354e-8,-21.057496653762833,-10.00197709335721
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),w2,yes,-3.062539858326383,3.14325597664149,0.33043137588259996,-9.240162594921411,3.1150828782686455
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),ratio,yes,0.19720487753662308,0.18915893779493945,0.29773471772698445,-0.17456012144407057,0.5689698765173168
Obama failed to nominate US judges,Panel 3 (Lucid),w1,yes,-6.045229982794762,3.2856696425894567,0.06647527775297617,-12.503201152065934,0.4127411864764108
Obama failed to nominate US judges,Panel 3 (Lucid),w2,yes,4.342617799153247,3.433882996028687,0.2066862265721496,-2.4066661518427512,11.091901750149246
Obama failed to nominate US judges,Panel 3 (Lucid),ratio,yes,-0.7183544400316779,0.7926338824791052,0.36529108029572144,-2.2762733173547716,0.8395644372914155
Biden wears wire at debate,Panel 2 (MTurk),w1,yes,-6.352880431025279,2.2950721289393727,0.00578456128894367,-10.858734642923842,-1.8470262191267164
Biden wears wire at debate,Panel 2 (MTurk),w2,yes,-4.440933239150552,2.3069950241708934,0.054625858137109753,-8.970195354887762,0.08832887658665811
Biden wears wire at debate,Panel 2 (MTurk),ratio,yes,0.6990424717365198,0.2908960616002821,0.01651094649295022,0.12793395281076902,1.2701509906622706
Trump holds Bible upside down,Panel 2 (MTurk),w1,yes,-19.46148052573801,2.4987171383110707,2.447336785140515e-14,-24.36735858581546,-14.555602465660565
Trump holds Bible upside down,Panel 2 (MTurk),w2,yes,-21.09638863988459,2.5478816531973996,6.243712308316796e-16,-26.098794278541114,-16.093983001228075
Trump holds Bible upside down,Panel 2 (MTurk),ratio,yes,1.0840073863848327,0.11999966029649044,1.599269038106712e-18,0.8484050080126992,1.3196097647569662
Trump responsible for all Covid deaths,Panel 2 (MTurk),w1,yes,-7.848145409591349,2.5881468842729407,0.00251316943663074,-12.929302675545346,-2.766988143637352
Trump responsible for all Covid deaths,Panel 2 (MTurk),w2,yes,-3.942380214331435,2.70093284903568,0.1448231437497808,-9.244963562334409,1.3602031336715394
Trump responsible for all Covid deaths,Panel 2 (MTurk),ratio,yes,0.502332717932811,0.28583737715911794,0.07927042213326342,-0.05883507152257283,1.063500507388195
A black man invented the light bulb,Panel 1 (MTurk),w1,yes,1.3372849766909105,2.2235162416712826,0.547757163672201,-3.0285666981519532,5.703136651533773
A black man invented the light bulb,Panel 1 (MTurk),w2,yes,4.982024009187676,2.4100596021148903,0.0390985281644983,0.2498963308867088,9.714151687488645
A black man invented the light bulb,Panel 1 (MTurk),ratio,yes,3.725476690477474,5.367122225557512,0.4878403081928184,-6.8128135717623755,14.263766952717322
Antifa start West Coast wildfires,Panel 1 (MTurk),w1,yes,-1.167071444916637,2.2158588784118263,0.5985886111923054,-5.518189476694492,3.1840465868612187
Antifa start West Coast wildfires,Panel 1 (MTurk),w2,yes,-0.17362482375199276,2.338654836171171,0.9408412437459542,-4.765868186768934,4.418618539264948
Antifa start West Coast wildfires,Panel 1 (MTurk),ratio,yes,0.14876966145309212,1.8192859070707528,0.9348519166794532,-3.423627386182212,3.721166709088396
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),w1,yes,-0.0543313293799505,2.3768836102702684,0.9817703074380651,-4.7215355277140345,4.612872868954134
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),w2,yes,0.0904467878792889,2.37894418820467,0.969683509725831,-4.580803522744382,4.76169709850296
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),ratio,yes,-1.6647262069570083,106.13045690603565,0.98748992965808,-210.0605062538569,206.7310538399429
A black man invented the light bulb,Panel 1 (Lucid),w1,yes,3.3633633513883923,4.150323220856794,0.4184401316964327,-4.808160817643657,11.53488752042044
A black man invented the light bulb,Panel 1 (Lucid),w2,yes,0.7514451832961525,4.405941603854415,0.8647046703340718,-7.923363111708796,9.4262534783011
A black man invented the light bulb,Panel 1 (Lucid),ratio,yes,0.22342075618617271,1.1938352725160295,0.851688777486058,-2.12710792894929,2.5739494413216355
Antifa start West Coast wildfires,Panel 1 (Lucid),w1,yes,-2.186162377645154,3.3806239476021127,0.5183841291755593,-8.841460262380524,4.469135507090215
Antifa start West Coast wildfires,Panel 1 (Lucid),w2,yes,-0.7905669559661654,3.483154214565628,0.8206173328757831,-7.647712037970443,6.066578126038111
Antifa start West Coast wildfires,Panel 1 (Lucid),ratio,yes,0.3616231639745773,1.4946813116141464,0.8090076492157726,-2.5808955916518643,3.304141919601019
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),w1,yes,1.8956699242034172,4.464271021160316,0.671460622474368,-6.895539964014885,10.68687981242172
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),w2,yes,-1.5482935116899588,4.427880346284897,0.7268733115576338,-10.267841518430336,7.171254495050418
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),ratio,yes,-0.8167526909204864,3.827831038060314,0.8312058369688374,-8.354661100315937,6.721155718474964
Meta-analysis,Meta-analysis,w1,yes,-6.287094734487169,1.4251561701535613,1.02650868799385e-5,-9.080349500333185,-3.493839968641152
Meta-analysis,Meta-analysis,w2,yes,-2.9466408475318007,1.34467235497207,0.02842684638519462,-5.582150234283716,-0.3111314607798854
Meta-analysis,Meta-analysis,ratio,yes,0.48944523293097586,0.11003083916992011,8.657070980185957e-6,0.27378875096921346,0.7051017148927383
