topic_short,panel_factor,covariates,Average Effect of Misinformation versus Control,Average Effect of Correction versus Misinformation
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),no,"6.97 (2.08)* [2.88, 11.06]","-9.47 (1.80)* [-12.99, -5.94]"
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),yes,"6.65 (1.90)* [2.93, 10.37]","-10.19 (1.56)* [-13.24, -7.14]"
Joe Biden has never made more than $400k,Panel 5 (Lucid),no,"10.65 (2.03)* [6.68, 14.63]","-17.09 (2.10)* [-21.21, -12.98]"
Joe Biden has never made more than $400k,Panel 5 (Lucid),yes,"10.15 (1.93)* [6.37, 13.93]","-16.67 (1.99)* [-20.58, -12.76]"
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),no,"13.41 (1.97)* [9.55, 17.27]","-13.56 (2.08)* [-17.65, -9.48]"
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),yes,"14.23 (1.82)* [10.66, 17.80]","-14.25 (1.94)* [-18.05, -10.44]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),no,"2.76 (1.66) [-0.50, 6.02]","-4.34 (1.68)* [-7.64, -1.04]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),yes,"3.09 (1.36)* [0.42, 5.76]","-3.72 (1.39)* [-6.43, -1.00]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),no,"9.53 (1.77)* [6.07, 12.99]","-20.80 (1.70)* [-24.13, -17.47]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),yes,"9.49 (1.58)* [6.39, 12.60]","-20.84 (1.52)* [-23.82, -17.85]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),no,"-6.19 (1.68)* [-9.47, -2.90]","-7.31 (1.76)* [-10.75, -3.86]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),yes,"-5.62 (1.52)* [-8.61, -2.63]","-7.87 (1.52)* [-10.85, -4.89]"
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),no,"-2.47 (2.00) [-6.39, 1.45]","-8.63 (1.90)* [-12.36, -4.90]"
Donald Trump claimed his DNA was USA,Panel 3 (Lucid),yes,"-1.81 (1.92) [-5.58, 1.95]","-8.37 (1.80)* [-11.89, -4.85]"
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),no,"0.43 (1.96) [-3.41, 4.28]","-15.46 (1.94)* [-19.28, -11.65]"
Judge Barrett made homophobic and racist statements,Panel 3 (Lucid),yes,"0.44 (1.73) [-2.95, 3.83]","-14.67 (1.75)* [-18.10, -11.23]"
Obama failed to nominate US judges,Panel 3 (Lucid),no,"8.22 (1.95)* [4.40, 12.05]","-17.67 (1.97)* [-21.53, -13.82]"
Obama failed to nominate US judges,Panel 3 (Lucid),yes,"7.69 (1.79)* [4.19, 11.20]","-15.95 (1.80)* [-19.48, -12.41]"
Biden wears wire at debate,Panel 2 (MTurk),no,"-0.78 (2.05) [-4.80, 3.25]","-4.70 (2.14)* [-8.91, -0.50]"
Biden wears wire at debate,Panel 2 (MTurk),yes,"1.61 (1.72) [-1.77, 4.99]","-7.10 (1.72)* [-10.47, -3.73]"
Trump holds Bible upside down,Panel 2 (MTurk),no,"5.08 (1.79)* [1.57, 8.59]","-21.16 (1.97)* [-25.02, -17.29]"
Trump holds Bible upside down,Panel 2 (MTurk),yes,"5.45 (1.72)* [2.09, 8.82]","-21.15 (1.81)* [-24.71, -17.60]"
Trump responsible for all Covid deaths,Panel 2 (MTurk),no,"3.04 (2.24) [-1.35, 7.43]","-9.29 (2.28)* [-13.76, -4.81]"
Trump responsible for all Covid deaths,Panel 2 (MTurk),yes,"2.03 (2.01) [-1.91, 5.97]","-9.54 (1.95)* [-13.37, -5.71]"
A black man invented the light bulb,Panel 1 (MTurk),no,"5.90 (2.12)* [1.73, 10.06]","-5.15 (2.13)* [-9.34, -0.97]"
A black man invented the light bulb,Panel 1 (MTurk),yes,"4.94 (1.63)* [1.75, 8.14]","-4.04 (1.63)* [-7.22, -0.85]"
Antifa start West Coast wildfires,Panel 1 (MTurk),no,"3.48 (2.19) [-0.82, 7.78]","-1.96 (2.21) [-6.30, 2.38]"
Antifa start West Coast wildfires,Panel 1 (MTurk),yes,"3.52 (1.56)* [0.46, 6.59]","-4.69 (1.55)* [-7.72, -1.66]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),no,"1.58 (2.08) [-2.51, 5.66]","-3.87 (2.14) [-8.06, 0.33]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),yes,"2.87 (1.66) [-0.39, 6.13]","-3.92 (1.64)* [-7.14, -0.69]"
A black man invented the light bulb,Panel 1 (Lucid),no,"8.59 (2.03)* [4.60, 12.58]","-2.68 (2.06) [-6.72, 1.35]"
A black man invented the light bulb,Panel 1 (Lucid),yes,"9.52 (1.83)* [5.93, 13.12]","-4.49 (1.86)* [-8.13, -0.85]"
Antifa start West Coast wildfires,Panel 1 (Lucid),no,"8.55 (1.96)* [4.70, 12.39]","-10.72 (1.96)* [-14.57, -6.88]"
Antifa start West Coast wildfires,Panel 1 (Lucid),yes,"7.38 (1.71)* [4.02, 10.74]","-11.59 (1.74)* [-15.01, -8.17]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),no,"6.87 (2.15)* [2.64, 11.09]","-11.01 (2.13)* [-15.19, -6.83]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),yes,"5.78 (1.93)* [2.00, 9.56]","-10.12 (1.88)* [-13.81, -6.43]"
Meta-analysis,Meta-analysis,no,"4.12 (1.19)* [1.80, 6.44]","-10.51 (1.27)* [-13.01, -8.02]"
Meta-analysis,Meta-analysis,yes,"4.30 (1.07)* [2.21, 6.40]","-10.52 (1.14)* [-12.75, -8.28]"
