topic_short,panel_factor,wave,covariates,Average Effect of Correction versus Control
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),w2,no,"-2.89 (3.14) [-9.07, 3.28]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (MTurk),ratio,no,"1.06 (0.77) [-0.45, 2.56]"
A black man invented the light bulb,Panel 1 (Lucid),w1,no,"4.08 (4.40) [-4.58, 12.75]"
A black man invented the light bulb,Panel 1 (Lucid),w2,no,"0.42 (4.59) [-8.62, 9.46]"
A black man invented the light bulb,Panel 1 (Lucid),ratio,no,"0.10 (1.07) [-2.00, 2.20]"
Antifa start West Coast wildfires,Panel 1 (Lucid),w1,no,"-1.10 (4.08) [-9.13, 6.94]"
Antifa start West Coast wildfires,Panel 1 (Lucid),w2,no,"-0.57 (4.02) [-8.48, 7.34]"
Antifa start West Coast wildfires,Panel 1 (Lucid),ratio,no,"0.52 (3.08) [-5.54, 6.57]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),w1,no,"3.01 (4.90) [-6.63, 12.65]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),w2,no,"-1.02 (4.93) [-10.72, 8.69]"
SARS-CoV-2 man made virus created in the lab,Panel 1 (Lucid),ratio,no,"-0.34 (2.06) [-4.39, 3.72]"
Meta-analysis,Meta-analysis,w1,no,"-6.24 (1.60)* [-9.38, -3.10]"
Meta-analysis,Meta-analysis,w2,no,"-2.99 (1.50)* [-5.92, -0.06]"
Meta-analysis,Meta-analysis,ratio,no,"0.54 (0.11)* [0.33, 0.76]"
